#Complex ac	Recommended name	Aliases for complex	Taxonomy identifier	Identifiers (and stoichiometry) of molecules in complex	Evidence Code	Experimental evidence	Go Annotations	Cross references	Description	Complex properties	Complex assembly	Ligand	Disease	Agonist	Antagonist	Comment	Source	Expanded participant list
CPX-320	DmaABC DMSO reductase complex	DMSOR complex|Dimethylsulfoxide reductase complex	83333	CHEBI:49883(1)|CHEBI:60539(1)|P18775(1)|P18776(1)|P18777(1)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-11464462	GO:0016672(oxidoreductase activity, acting on a sulfur group of donors, quinone or similar compound as acceptor)|GO:0005887(integral component of plasma membrane)|GO:0018907(dimethyl sulfoxide metabolic process)|GO:0009389(dimethyl sulfoxide reductase activity)|GO:0019645(anaerobic electron transport chain)|GO:0048038(quinone binding)|GO:0009390(dimethyl sulfoxide reductase complex)	intenz:1.8.5.3(identity)|complex portal:CPX-320(complex-primary)	Terminal reductase required for the reduction of dimethyl sulfoxide (DMSO) to dimethyl sulfide (DMS) and that of a broad array of S- and N-oxide compounds during anaerobic growth. Induced in the presence of fumarate. The expression of the enzyme is dependent on molybdenum.	Trimeric enzyme localised to the cytoplasmic membrane, with two extrinsic subunits (dmsA and dmsB) and one membrane anchor (dmsC). 	Heterotrimer	-	-	-	-	-	psi-mi:"MI:0469"(IntAct)	P18775(1)|P18776(1)|P18777(1)
CPX-403	RNA degradosome	RNA degradosome - core component|RNA degradosome|Degradosome	83333	CHEBI:18420(0)|P05055(12)|P0A6P9(16)|P0A8J8(8)|P21513(12)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-6412346	GO:0016021(integral component of membrane)|GO:0003723(RNA binding)|GO:0004654(polyribonucleotide nucleotidyltransferase activity)|GO:0006396(RNA processing)|GO:0006401(RNA catabolic process)|GO:0003724(RNA helicase activity)|GO:0005524(ATP binding)|GO:1990061(bacterial degradosome)	pubmed:21805185(see-also)|complex portal:CPX-403(complex-primary)|intenz:2.7.7.8(identity)|rhea:RHEA:22096(identity)|intenz:3.6.4.13(identity)|rhea:RHEA:13065(identity)|wwpdb:3H8A(subset)	Key role in mRNA degradation and RNA processing. RNA binds to RnaE, RhlB helicase is necessary to unwind the RNA secondary structures and, once unwound, the 3′-5′ decay of the transcripts is ensued by phosphate-dependent PNPase. RNase E bound-enolase may connect cellular metabolic status with post-transcriptional gene regulation and link RNA degradation to glycolytic processes. A dynamic set of minor components of this complex may regulate its function and compartmentalization.	Structured as ordered helical elements arranged in a coil. RNase E provides the backbone of the complex and the N-terminus of this enzyme tethers the degradosome to the cytoplasmic membrane. A ratio of four PNPase trimers binds to three RNase E tetramers and eight enolase dimers and eight RhlB helicase N-terminal domains bind to the C-terminal tails of RNase E. Mg2+ ions coordinate the N-terminal domains of RNase E into catalytic tetrameric domains.	-	-	-	-	-	-	psi-mi:"MI:0469"(IntAct)	P05055(12)|P0A6P9(16)|P0A8J8(8)|P21513(12)
CPX-996	Cas1-Cas2 complex	Cas1 - Cas2 integrase complex	83333	CHEBI:18420(4)|P45956(2)|Q46896(4)	ECO:0000353(physical interaction evidence used in manual assertion)	-	GO:0003677(DNA binding)|GO:0043571(maintenance of CRISPR repeat elements)|GO:0099048(CRISPR-cas system)|GO:0004519(endonuclease activity)	pubmed:27672148(see-also)|pubmed:26503043(see-also)|intenz:3.1.-.-(identity)|wwpdb:5dqt(identity)|pubmed:26478180(see-also)|wwpdb:4p6i(identity)|wwpdb:4qdl(identity)|wwpdb:5dlj(identity)|wwpdb:5dqz(identity)|wwpdb:5ds4(identity)|wwpdb:5ds5(identity)|wwpdb:5ds6(identity)|wwpdb:5dqu(identity)|complex portal:CPX-996(complex-primary)	CRISPR (clustered regularly interspaced short palindromic repeat), is an adaptive immune system that provides protection against mobile genetic elements (viruses, transposable elements and conjugative plasmids). The system memorizes previous infections by integrating short sequences of invading genomes (spacers) into the CRISPR locus. The spacers, interspaced with repeats, are expressed as small guide CRISPR RNAs (crRNAs) that are employed by Cas proteins to target invaders sequence-specifically upon a reoccurring infection. The Cas1-Cas 2 complex is essential for the incorporation of 33-bp long sequence-variable foreign DNA protospacers into the host CRISPR locus. CRISPR transcripts generated from the loci assemble with Cas proteins to detect and cleave foreign nucleic acids bearing sequence complementarity to the spacer segment. Cas1 is the probable nuclease that catalyzes the integration reaction, whilst Cas2 may provide a structural scaffold and stimulate the catalytic activity of Cas1 	The complex contains a pair of Cas1 dimers sandwiching one Cas2 dimer. Protospacer DNA binding triggers large structural rearrangements in Cas1-Cas2. The protospacer spans the central Cas2 dimer and terminates within individual Cas1 subunits on each end of the complex. Molecular weight 78.1kDa.	Heterohexamer	-	-	-	-	-	psi-mi:"-"(ceitec)	P45956(2)|Q46896(4)
CPX-1005	Cascade complex	CRISPR associated complex for antiviral defence	83333	CHEBI:134528(0)|P76632(2)|Q46897(1)|Q46898(1)|Q46899(6)|Q46901(1)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-16196792	GO:0003690(double-stranded DNA binding)|GO:0099048(CRISPR-cas system)|GO:0003697(single-stranded DNA binding)	pubmed:26863189(see-also)|wwpdb:4u7u(identity)|pubmed:25118175(see-also)|pubmed:27672148(see-also)|wwpdb:5h9f(identity)|wwpdb:5cd4(identity)|wwpdb:5h9e(identity)|wwpdb:4tvw(identity)|wwpdb:4qyz(identity)|complex portal:CPX-1005(complex-primary)	CRISPR (clustered regularly interspaced short palindromic repeat), is an adaptive immune system that provides protection against mobile genetic elements (viruses, transposable elements and conjugative plasmids). The system memorizes previous infections by integrating short sequences of invading genomes (spacers) into the CRISPR locus. The spacers, interspaced with repeats, are expressed as small guide CRISPR RNAs (crRNAs) that are employed by Cas proteins to target invaders sequence-specifically upon a reoccurring infection. Upon viral invasion, the Cascade complex binds double-stranded DNA exhibiting sequence complementary to the crRNA spacer sequence, while displacing the non-target strand to form an R-loop, and then recruits the nuclease Cas3/ygcB (P38036) for target degradation. 	The complex exhibits a sea-horse-shaped architecture, the 11 subunits are assembled into two structural layers. Six casC proteins, together with casD and casE, tightly pack to form the outer layer, the casC helical stack forming a groove in which the crRNA lies. The inner layer, consisting of the casA and the casB dimer, is connected to the outer layer mainly via casA–casD interactions as well as multiple relatively weak casC contact sites at their lateral regions.	Heteroundecamer	-	-	-	-	-	psi-mi:"-"(ceitec)	P76632(2)|Q46897(1)|Q46898(1)|Q46899(6)|Q46901(1)
CPX-1075	Ribonucleoside-diphosphate reductase 1 complex	Ribonucleotide reductase 1 complex|Ribonucleotide-diphosphate reductase complex	83333	CHEBI:29034(4)|P00452(2)|P69924(2)	ECO:0000353(physical interaction evidence used in manual assertion)	-	GO:0017076(purine nucleotide binding)|GO:0019103(pyrimidine nucleotide binding)|GO:0005971(ribonucleoside-diphosphate reductase complex)|GO:0009185(ribonucleoside diphosphate metabolic process)|GO:0009265(2'-deoxyribonucleotide biosynthetic process)|GO:0004748(ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor)	rhea:RHEA:23252(identity)|intenz:1.17.4.1(identity)|wwpdb:5cnv(identity)|wwpdb:2xaw(subset)|wwpdb:1r1r(identity)|wwpdb:2r1r(identity)|wwpdb:3r1r(subset)|wwpdb:2xax(subset)|wwpdb:4r1r(identity)|wwpdb:1piz(subset)|wwpdb:1pj0(subset)|wwpdb:1pj1(subset)|wwpdb:1yfd(subset)|wwpdb:5ci2(subset)|wwpdb:3uus(identity)|pubmed:22160671(see-also)|wwpdb:2xap(subset)|wwpdb:2x0x(identity)|wwpdb:2xay(subset)|wwpdb:2xo4(subset)|wwpdb:2xaz(subset)|wwpdb:2xo5(subset)|wwpdb:6r1r(identity)|wwpdb:2xak(subset)|wwpdb:2xav(subset)|wwpdb:5r1r(subset)|wwpdb:7r1r(identity)|wwpdb:4erp(identity)|wwpdb:4erm(identity)|wwpdb:1av8(subset)|wwpdb:1biq(subset)|wwpdb:1jpr(subset)|wwpdb:1jqc(subset)|wwpdb:1mrr(subset)|wwpdb:1mxr(subset)|wwpdb:1pfr(subset)|wwpdb:1pim(subset)|wwpdb:1piu(subset)|wwpdb:1piy(subset)|wwpdb:1pm2(subset)|wwpdb:1r65(subset)|wwpdb:1rib(subset)|wwpdb:1rnr(subset)|wwpdb:1rsr(subset)|wwpdb:1rsv(subset)|wwpdb:1xik(subset)|wwpdb:2alx(subset)|wwpdb:2av8(subset)|wwpdb:2xof(subset)|wwpdb:5ci3(subset)|wwpdb:5cnu(identity)|wwpdb:5cns(identity)|wwpdb:5cnt(identity)|complex portal:CPX-1075(complex-primary)	Catalyzes the reduction of ribonucleotides to the corresponding deoxyribonucleotides, an essential step in the de novo synthesis of monomeric precursors for DNA replication and repair. The binding of effector dATP alters the active site to select for pyrimidines over purines, whereas effectors dGTP and TTP select for substrates ADP and GDP, respectively.	The active alpha(2)beta(2) complex has a compact structure that can be reversibly converted via a dynamic conformational rearrangement to an inactive alpha(4)beta(4) state in the presence of elevated deoxyATP. The homodimeric alpha-2 subunit contains the active site, where ribonucleotide reduction occurs, and two types of allosteric effector binding sites. One effector site tunes the specificity for all four ribonucleotide substrates in response to intracellular levels of deoxyribonucleoside 5′-triphosphates (dATP, dTTP, dGTP) and ATP. The second effector site controls the rate of reduction, binding ATP to turn the enzyme on or dATP to turn it off, thus reducing enzyme activity through a negative feedback mechanism. The beta-2 subunit harbors the essential diferric-tyrosyl radical (Tyr-123) co-factor that initiates radical chemistry. The alpha(4)beta(4) complex induced by the negative effector, dATP, is a ring-like structure composed of alternating alpha(2) and beta(2) subunits. 	Heterotetramer	-	-	-	-	-	psi-mi:"-"(ceitec)	P00452(2)|P69924(2)
CPX-1077	Chemotaxis phosphorelay complex CheA-CheY	-	83333	CHEBI:18420(1)|P07363(1)|P0AE67(1)	ECO:0000353(physical interaction evidence used in manual assertion)	-	GO:0004673(protein histidine kinase activity)|GO:0000160(phosphorelay signal transduction system)|GO:0050920(regulation of chemotaxis)|GO:0005737(cytoplasm)|GO:0071977(bacterial-type flagellum-dependent swimming motility)	pubmed:9437425(see-also)|wwpdb:1a0o(identity)|wwpdb:1eay(identity)|wwpdb:1ffg(identity)|wwpdb:1ffs(identity)|wwpdb:1ffw(identity)|intenz:2.7.13.3(identity)|intact:EBI-6414953(identity)|complex portal:CPX-1077(complex-primary)	Plays a role in chemotaxis, the movement toward or away from chemicals. The complex is formed to activate cheY protein that then induces the change of the flagellar rotors from counterclocwise to clockwise rotation. cheA interacts with transmembrane chemoreceptors to generate stimulus signals via autophosphorylion of cheA which then serves as a phosphodonor for cheY. The P-cheY generated by this interaction binds to fliM (P06974), the switch component of the flagellar motor.	-	Heterodimer	-	-	-	-	-	psi-mi:"-"(ceitec)	P07363(1)|P0AE67(1)
CPX-1079	DinJ-YafQ toxin-antitoxin complex	YafQ-(DinJ)2-YafQ complex	83333	Q47149(2)|Q47150(2)	ECO:0000353(physical interaction evidence used in manual assertion)	-	GO:0000986(bacterial-type RNA polymerase core promoter proximal region sequence-specific DNA binding)|GO:0045892(negative regulation of transcription, DNA-templated)|GO:0110001(toxin-antitoxin complex)|GO:0043565(sequence-specific DNA binding)|GO:0044010(single-species biofilm formation)|GO:0040008(regulation of growth)	wwpdb:4q2u(identity)|pubmed:24898247(see-also)|pubmed:26991085(see-also)|complex portal:CPX-1079(complex-primary)	Type II toxin-antitoxin (TA) system formed by the toxin (yafQ), and the antitoxin (dinJ). TA systems act as effectors of dormancy and persistence, with the toxin causing growth arrest by interfering with a vital cellular process, such as transcription, translation or DNA replication, and the cognate antitoxin neutralizing the toxin activity during normal growth conditions. The toxin yafQ degrades mRNA at adenosine-rich codons, most likely while it is bound to the ribosome. The binding of dinJ occludes the active site of yafQ. Under conditions of stress the antitoxins are selectively degraded by cellular proteases such as Lon (P0A9M0) and ClpXP (CPX-3176), leaving the toxins to exert their effectsl which result in growth arrest and cell dormancy. Both the antitoxin and, in most cases, the TA complex bind the TA promoter to repress transcription, with TA complexes repressing transcription more efficiently than the antitoxins alone by increasing the co-operativity of antitoxin binding to operators.The toxin yafQ degrades mRNA at adenosine-rich codons, most likely while it is bound to the ribosome.	YafQ-(DinJ)2-YafQ is a tetramer with MW of ~56 kDa.	Heterotetramer	-	-	-	-	-	psi-mi:"-"(ceitec)	Q47149(2)|Q47150(2)
CPX-1081	RelBE toxin-antitoxin complex	RelB2E2|RelE-RelB2-RelE complex	83333	P0C077(2)|P0C079(2)	ECO:0000353(physical interaction evidence used in manual assertion)	-	GO:0006355(regulation of transcription, DNA-templated)|GO:0040008(regulation of growth)|GO:0110001(toxin-antitoxin complex)|GO:0000986(bacterial-type RNA polymerase core promoter proximal region sequence-specific DNA binding)|GO:0043565(sequence-specific DNA binding)|GO:0044010(single-species biofilm formation)	wwpdb:4fxe(identity)|wwpdb:2k29(subset)|pubmed:22981948(see-also)|pubmed:26991085(see-also)|wwpdb:2kc8(identity)|complex portal:CPX-1081(complex-primary)	Type II toxin-antitoxin (TA) system formed by the toxin (relE), and the antitoxin (relB). TA systems act as effectors of dormancy and persistence, with the toxin causing growth arrest by interfering with a vital cellular process, such as transcription, translation or DNA replication, and the cognate antitoxin neutralizing the toxin activity during normal growth conditions. Free relE toxin is capable of cleaving mRNA during translation at the ribosomal A site, thus inhibiting translation during amino acid starvation (the stringent response). The antitoxin, relB, both binds and inhibits relE by inducing conformational changes in the relE active site. Under conditions of stress the antitoxins are selectively degraded by cellular proteases such as Lon (P0A9M0) and ClpXP (CPX-3176), leaving the toxins to exert their effectsl which result in growth arrest and cell dormancy. Both the antitoxin and, in most cases, the TA complex bind the TA promoter to repress transcription, with TA complexes repressing transcription more efficiently than the antitoxins alone by increasing the co-operativity of antitoxin binding to operators. 	Each RelE tightly binds the C-terminal region of its associated RelB, resulting in an overall very open, V-shaped complex with an RelE-RelB2-RelE architecture and approximate dimensions of 105 x 60 A.	Heterotetramer	-	-	-	-	-	psi-mi:"-"(ceitec)	P0C077(2)|P0C079(2)
CPX-1082	Flagellar Motor Switch Complex, CW variant	-	83333	CHEBI:18420(0)|P06974(0)|P0ABZ1(0)|P0AE67(1)|P15070(0)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0009433(bacterial-type flagellum basal body, C ring)|GO:0006935(chemotaxis)|GO:0071977(bacterial-type flagellum-dependent swimming motility)|GO:0120107(bacterial-type flagellum rotor complex)|GO:0009288(bacterial-type flagellum)	pubmed:24697492(see-also)|wwpdb:2b1j(subset)|wwpdb:1f4v(subset)|wwpdb:1u8t(subset)|pubmed:15351654(see-also)|complex portal:CPX-1082(complex-primary)|pubmed:28259628(see-also)	Plays a role in chemotaxis, the movement toward or away from chemicals. The flagellar motor of bacteria is a rotary device energized by the membrane ion gradient and the complex is required for the rotation and directional switching of the flagellum and also functions in flagellar assembly. Motor torque is produced at the top of the switch complex, where the fliG C-terminal domain bears several conserved charged residues that interact with charged groups of the stator protein motA (P09348). The conformation of this complex is such that the flagellum rotates in a clockwise (CW) direction, induced by binding of cheY-P to the lower part of the C-ring. 	Formed from about 26 copies of fliG, 34 copies of fliM, and more than 100 copies of fliN. The lower part of the switch complex is formed from fliN, organized in doughnut-shaped tetramers that alternate with the fliM C-terminal domains in an array at the membrane distal region of a large drum-shaped feature of approximately 40nM, at the bottom of the basal body - the C-ring. The thinner side-wall of the C-ring, above the fliN/fliM C-terminal array, is formed from the fliM middle domain. fliG is proximal to the membrane and its middle domain interacts with fliM. cheY-P interacts initially with the N-terminal segment of fliM, which is flexible enough to allow subsequent binding to a site on fliN. Coupled conformational transitions in fliM trigger large displacements of a distant alpha-helix in fliG, involved in stator complex (CPX-5884) contacts, inducing the change of the flagellar rotors from counter-clockwise (smooth-swimming phenotype) to clockwise rotation (tumbly phenotype). Phosphoryl-cheY binds fliM with approximately 20-fold higher affinity than non-phosphorylated cheY. Binding measurements suggest that the switch binds many CheY-P molecules, and that several molecules must interact with the switch simultaneously to trigger direction reversal.	-	-	-	-	-	-	psi-mi:"-"(ceitec)	P06974(0)|P0ABZ1(0)|P0AE67(1)|P15070(0)
CPX-1083	Cobalamin outer membrane transporter complex	Colicin A import system complex|Vitamin B12 outer membrane transporter complex	83333	P02929(1)|P06129(1)|P0ABU7(4)|P0ABV2(1)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0015420(cobalamin-transporting ATPase activity)|GO:0015889(cobalamin transport)|GO:1902495(transmembrane transporter complexin complex)|GO:0016021(integral component of membrane)|GO:0009279(cell outer membrane)|GO:0031419(cobalamin binding)	pubmed:25802296(see-also)|wwpdb:2gsk(subset)|pubmed:16741124(see-also)|pubmed:20420522(see-also)|wwpdb:5sv1(subset)|complex portal:CPX-1083(complex-primary)	A member of the TonB-dependent transporter family (TBDTs) which binds and then transports cobalamine (vitamin B12) across the outer membrane. TBDTs are energy-dependent gated channels that usually transport large metal complexes which cannot fit through porins, and are too scarce to enter by mass-action-driven transport. Energy-dependent uptake through TBDTs requires interaction with tonB in complex with exbB and exbD in the inner membrane, ExbBD. tonB undergoes rapid energized movement driven by ExbBD which harvest the electrochemical force from the electrochemical proton gradient created by the proton gradient across the inner membrane and convert it into rotational motion. Hence, tonB may pull or twist the N-termini of TBDTs to promote transport of substrates into the periplasm. ATP-binding-cassette (ABC) transporters subsequently move the cyanocobalamine through the periplasm and inner membrane.	The lumen of btuB, a 22-stranded beta-barrel outer membrane protein, is blocked by an N-terminal plug, or cork, domain preventing passive transit of vitamin B12. The binding of vitamin B12 induces an allosteric rearrangement of the plug domain, releasing a conserved motif, the Ton-box into the periplasmic space, where it forms a 1:1 complex. The transmembrane helix at the N-terminus of TonB forms a complex with exbB and exbD, which is necessary, together with an energized IM, for tonB-dependent transport. The membrane surveillance protein, tonB, undergoes high turnover, a second molecule of exbD may occupy its binding space in its absence. 	Heteroheptamer	-	-	-	-	-	psi-mi:"-"(ceitec)	P02929(1)|P06129(1)|P0ABU7(4)|P0ABV2(1)
CPX-1084	MqsRA toxin-antitoxin complex	MqsR:MqsA2:MqsR|MqsR - MqsA complex	83333	Q46864(2)|Q46865(2)	ECO:0000353(physical interaction evidence used in manual assertion)	-	GO:0044010(single-species biofilm formation)|GO:0110001(toxin-antitoxin complex)|GO:0006355(regulation of transcription, DNA-templated)	pubmed:26991085(see-also)|wwpdb:3hi2(identity)|wwpdb:3gn5(subset)|wwpdb:3fmy(subset)|wwpdb:3o9x(subset)|pubmed:20041169(see-also)|complex portal:CPX-1084(complex-primary)	Type II toxin-antitoxin (TA) module consisting of MqsR toxins bound to MqsA antitoxin dimer. TA systems act as effectors of dormancy and persistence and are composed of a toxin, which causes growth arrest by interfering with a vital cellular process, and a cognate antitoxin, which neutralizes the toxin activity during normal growth conditions. Under conditions of stress the antitoxins are selectively degraded, leaving the toxins to exert their toxic effects, leading to growth arrest and dormancy. Type II TA complexes are small protein-protein pairs; under growth conditions, the toxin is bound to the antitoxin, which inhibits its activity. Unlike other type II toxins, mqsR does not enhance the binding of mqsA to the mqsRA promoter. Instead, MqsR disrupts the MqsA-DNA interaction. Under stress conditions, cellular proteases such as Lon (P0A9M0) and ClpXP (CPX-3176) are activated that preferentially cleave the antitoxins, freeing the toxins to inhibit growth by inhibiting translation or replication, enabling cells to enter a metabolically dormant state until the stress is removed. MqsR toxin is the most up-regulated gene in the persister phenotype of cells. When active, MqsA binds its promoter with extremely tight affinity, however this is destabilized by TA complex formation as the binding sites of MqsR and DNA on MqsA overlap and their binding is mutually exclusive. Plays a role in biofilm formation.	A total of 2016 A2 of solvent accessible surface area is buried by the interaction (MqsA)2 - MqsR interaction.	Heterotetramer	-	-	-	-	-	psi-mi:"-"(ceitec)	Q46864(2)|Q46865(2)
CPX-1085	Flagellar Motor Switch Complex, CCW variant	-	83333	P06974(0)|P0ABZ1(0)|P15070(0)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0009433(bacterial-type flagellum basal body, C ring)|GO:0006935(chemotaxis)|GO:0071977(bacterial-type flagellum-dependent swimming motility)|GO:0009288(bacterial-type flagellum)|GO:0120107(bacterial-type flagellum rotor complex)	pubmed:24697492(see-also)|pubmed:21673656(see-also)|complex portal:CPX-1085(complex-primary)|pubmed:28259628(see-also)	Plays a role in chemotaxis, the movement toward or away from chemicals. The flagellar motor of bacteria is a rotary device energized by the membrane ion gradient and the complex is required for the rotation and directional switching of the flagellum and also functions in flagellar assembly. Motor torque is produced at the top of the switch complex, where the fliG C-terminal domain bears several conserved charged residues that interact with charged groups of the stator protein motA (P09348). The conformation of this complex is such that the flagellum rotates in a counter-clockwise (CCW) direction. 	Formed from about 26 copies of fliG, 34 copies of fliM, and more than 100 copies of fliN. The lower part of the switch complex is formed from fliN, organized in doughnut-shaped tetramers that alternate with the fliM C-terminal domains in an array at the membrane distal region of a large drum-shaped feature of approximately 40nM, at the bottom of the basal body - the C-ring. The thinner side-wall of the C-ring, above the fliN/fliM C-terminal array, is formed from the fliM middle domain. fliG is proximal to the membrane and its middle domain interacts with fliM	-	-	-	-	-	-	psi-mi:"-"(ceitec)	P06974(0)|P0ABZ1(0)|P15070(0)
CPX-1086	MazEF toxin-antitoxin complex	MazF2-MazE2-MazF2	83333	P0AE70(4)|P0AE72(2)	ECO:0000353(physical interaction evidence used in manual assertion)	-	GO:0043565(sequence-specific DNA binding)|GO:0044010(single-species biofilm formation)|GO:0006355(regulation of transcription, DNA-templated)|GO:0110001(toxin-antitoxin complex)|GO:0000986(bacterial-type RNA polymerase core promoter proximal region sequence-specific DNA binding)|GO:0040008(regulation of growth)	wwpdb:1ub4(identity)|pubmed:12718874(see-also)|wwpdb:1mvf(subset)|wwpdb:2mrn(subset)|wwpdb:2mru(subset)|wwpdb:5cqx(subset)|wwpdb:5cqy(subset)|wwpdb:3nfc(subset)|wwpdb:5ck9(subset)|wwpdb:5ckb(subset)|wwpdb:5ckd(subset)|wwpdb:5cke(subset)|wwpdb:5ckf(subset)|wwpdb:5ckh(subset)|wwpdb:5co7(subset)|wwpdb:5cr2(subset)|pubmed:26991085(see-also)|complex portal:CPX-1086(complex-primary)	Type II toxin-antitoxin (TA) system formed by the toxin (maxF), and the antitoxin (mazE). TA systems act as effectors of dormancy and persistence, with the toxin causing growth arrest by interfering with a vital cellular process, such as transcription, translation or DNA replication, and the cognate antitoxin neutralizing the toxin activity during normal growth conditions. Presence of free mazF toxin induces programmed cell death by cleavage of RNA specifically at ACA sequences to block protein synthesis. Under conditions of stress the antitoxins are selectively degraded by cellular proteases such as Lon (P0A9M0) and ClpXP (CPX-3176), leaving the toxins to exert their effectsl which result in growth arrest and cell dormancy. Both the antitoxin and, in most cases, the TA complex bind the TA promoter to repress transcription, with TA complexes repressing transcription more efficiently than the antitoxins alone by increasing the co-operativity of antitoxin binding to operators. Plays a role in biofilm formation.	Complex consists of an extended heterohexamer formed by repeating mazF and mazE dimers resulting in (mazF)2-(mazE)2-(mazF)2. The mazE homodimer contains a beta-barrel from which two extended C termini project, making interactions with flanking mazF homodimers. The mazE/mazF heterohexamer occupies a cylinder that is approximately 100 A in axial length and 40 A in diameter. Total solvent-accessible surface area buried on heterohexamer formation is 7180 A2 (3590 A2 for each copy of MazE interacting with one mazF homodimer).	Heterohexamer	-	-	-	-	-	psi-mi:"-"(ceitec)	P0AE70(4)|P0AE72(2)
CPX-1087	YoeB-YefM toxin-antitoxin complex	YoeB-YefM TA complex|YoeB-YefM toxin/antitoxin complex	83333	P69346(2)|P69348(1)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-9194507	GO:0006355(regulation of transcription, DNA-templated)|GO:0040008(regulation of growth)|GO:0110001(toxin-antitoxin complex)|GO:0043565(sequence-specific DNA binding)	wwpdb:2a6q(identity)|pubmed:16109374(see-also)|pubmed:24561554(see-also)|complex portal:CPX-1087(complex-primary)	Type II toxin-antitoxin (TA) system formed by the toxin (yoeB), and the antitoxin (yefM). TA systems act as effectors of dormancy and persistence, with the toxin causing growth arrest by interfering with a vital cellular process, such as transcription, translation or DNA replication, and the cognate antitoxin neutralizing the toxin activity during normal growth conditions. yoeB has translation-dependent mRNA degradation activity and preferentially cleaves at 3-prime ends of purine-rich ribonucleotides. Under conditions of stress the antitoxins are selectively degraded by cellular proteases such as Lon (P0A9M0) and ClpXP (CPX-3176), leaving the toxins to exert their effectsl which result in growth arrest and cell dormancy. Both the antitoxin and, in most cases, the TA complex bind the TA promoter to repress transcription, with TA complexes repressing transcription more efficiently than the antitoxins alone by increasing the co-operativity of antitoxin binding to operators.	MW ~30 kDa. Elongated shape with dimensions ~60 x 35 x 35 A. Solvent accessible buried surface area: 3300 A^2. May also form as YoeB(2):YefM(1) conformation. 	Heterotrimer	-	-	-	-	-	psi-mi:"-"(ceitec)	P69346(2)|P69348(1)
CPX-1088	Chemotaxis phosphorelay complex CheY-CheZ	-	83333	CHEBI:18420(2)|P0A9H9(2)|P0AE67(2)	ECO:0000353(physical interaction evidence used in manual assertion)	-	GO:0004721(phosphoprotein phosphatase activity)|GO:0050920(regulation of chemotaxis)|GO:1902021(regulation of bacterial-type flagellum-dependent cell motility)	pubmed:12080332(see-also)|intenz:3.1.3(identity)|wwpdb:1kmi(identity)|complex portal:CPX-1088(complex-primary)	Plays a role in chemotaxis, the movement toward or away from chemicals. The flagellar motor of bacteria is a rotary device energized by the membrane ion gradient and the complex is required for the rotation and directional switching of the flagellum and also functions in flagellar assembly. Motor torque is produced at the top of the switch complex, where the fliG C-terminal domain bears several conserved charged residues that interact with charged groups of the stator protein motA (P09348). The directionality of the rotation is determined by binding of cheY-P to the lower part of the C-ring which switches the directionality from counter-clockwise to clockwise. The cheY-cheZ complex enhances the dephosphorylation rate of P-cheY. This dephosphorylation reduces the binding of cheY to the switch and ensures rapid locomotor responses to changes in the supply of signaling phosphoryl groups to cheY, thus enabling a continuous response to environmental changes.	The side chain of Gln-147 of cheZ inserts into the cheY active site, filling one coordination site of the Mg2+, and rendering the existing mechanism of CheY autodephosphorylation more efficient by positioning a water molecule in the appropriate geometry for nucleophilic attack.	Heterotetramer	-	-	-	-	-	psi-mi:"-"(ceitec)	P0A9H9(2)|P0AE67(2)
